name,num_trees,max_depth,oob_accuracy,train_accuracy,train_time,min_examples
Baseline,300,16,0.9689591880803282,0.9706866767436839,1.0402259826660156,
Deep,300,30,0.9687972360181386,0.9707406607644138,1.3349390029907227,
More Trees,500,20,0.9689591880803282,0.9705787087022242,1.738495111465454,
Very Deep,400,-1,0.9686892679766789,0.9706866767436839,1.6632723808288574,
Regularized,300,10,0.9689052040595983,0.9692830922047074,0.692488431930542,20.0
Large Ensemble,1000,12,0.9688512200388685,0.9705787087022242,2.114068031311035,
