iteration,n_added,n_added_E,n_added_I,total_pseudo,val_accuracy,E_conf_min,E_conf_mean,I_conf_min,I_conf_mean
1,500,369,131,500,0.9724696356275304,1.0,1.0,0.9999983400000001,0.9999983400000003
2,500,369,131,1000,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000003
3,500,369,131,1500,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000003
4,500,369,131,2000,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000003
5,500,369,131,2500,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000003
6,500,369,131,3000,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000003
7,500,369,131,3500,0.9727395411605938,1.0,1.0,0.99333168,0.9979627186259541
8,500,369,131,4000,0.9727395411605938,1.0,1.0,0.9866649999999999,0.9946548306870231
