method,cluster,n_samples,pct_extrovert,pct_uncertain,avg_confidence,pct_errors,avg_alone_time,avg_social_events,avg_friends
kmeans,0,3290,98.08510638297872,1.4285714285714286,0.9893434667291184,1.8541033434650456,1.678396871945259,8.327659574468084,8.697933748770089
kmeans,1,4771,5.491511213582059,3.9404736952420873,0.9656980905596312,5.114231817229093,7.363918439716312,1.623988906863878,2.802132970274563
kmeans,2,3366,97.44503862150921,1.8419489007724301,0.9873935443906119,2.525252525252525,1.7065906210392903,7.05545229244114,12.385426076482988
kmeans,3,3538,97.79536461277559,1.639344262295082,0.9892255497115886,2.035048049745619,1.596882640586797,5.0903708320349015,11.337643255950631
kmeans,4,3559,97.49929755549311,1.8263557178982859,0.9857019775822422,2.275920202304018,1.6246616541353383,5.40516717325228,6.419452887537994
dbscan,-1,53,39.62264150943396,13.20754716981132,0.7090558173584904,3.7735849056603774,7.622641509433962,3.6226415094339623,4.714285714285714
dbscan,0,13731,97.74233486271939,1.675041876046901,0.9884130807029643,2.1775544388609713,1.641328125,6.476567910734898,9.75170563434266
dbscan,1,685,3.795620437956204,2.335766423357664,0.9701394891386861,3.5036496350364965,7.431137724550898,1.5263157894736843,2.8639760837070254
dbscan,2,727,3.576341127922971,1.3755158184319118,0.9647668406052269,2.8885832187070153,7.390070921985815,1.5925925925925926,2.819088319088319
dbscan,3,3328,6.159855769230769,4.717548076923077,0.967077700264423,5.919471153846153,7.336872586872587,1.6490269716626835,2.784026622296173
hierarchical,0,9381,97.75077283871656,1.694915254237288,0.9872252440809722,2.1639484063532675,1.626406429391504,6.241582587008276,9.782178217821782
hierarchical,1,3332,6.212484993997599,4.741896758703482,0.9664429526590635,5.912364945978391,7.334511568123394,1.654619843163996,2.7876370887337987
hierarchical,2,4352,97.84007352941177,1.631433823529412,0.991029412594853,2.159926470588235,1.6861260381045433,6.98731146756045,9.699950690335307
hierarchical,3,732,5.191256830601093,3.0054644808743167,0.9537597942568308,3.825136612021858,7.41374474053296,1.5527426160337552,2.8865546218487395
hierarchical,4,727,3.576341127922971,1.3755158184319118,0.9647668406052269,2.8885832187070153,7.390070921985815,1.5925925925925926,2.819088319088319
gmm,0,4869,97.8024234955843,1.622509755596632,0.989937702249497,2.1565003080714726,1.6638562236520968,7.948243992606285,9.616536458333334
gmm,1,4752,5.576599326599327,3.872053872053872,0.9664419806952863,5.092592592592593,7.348319608279546,1.6304549675023212,2.8142661804922517
gmm,2,4327,97.85070487635775,1.5253062167783684,0.9900608592065635,2.1492951236422466,1.6612824278022515,6.534063260340632,9.695238095238095
gmm,3,4457,98.00314112631816,1.6603096253085032,0.9907366695465112,1.9968588736818487,1.507863537382047,4.632394008631632,9.988042203985932
gmm,4,119,58.82352941176471,14.285714285714285,0.6857139549579834,11.76470588235294,7.434782608695652,4.169491525423729,6.491228070175438
